site.id,study.id,citations.title,site.sitename,site.state,site.country,lat_dec,long_dec
2112,150,Gradient (elevation) vs. disturbance (agriculture) effects on primary cloud forest in Ecuador: floristics and physical structure,Maquipucuna,,Ecuador,0.083333,-78.616667
2150,222,Carbon emissions from dryland shifting cultivation: a case study of Mexican tropical dry forest,Tonaya/El Temazcal,Jalisco,Mexico,19.7,-103.9
2405,246,Plant communities and ecosystem processes in a succession-altitude matrix after shifting cultivation in the tropical montane forest zone of northern Borneo,Upland area between Kinabalu/Crocker Range Park,Sabah,Malaysia,5.993611,116.461944
3006,270,Community-weighted mean of leaf traits and divergence of wood traits predict aboveground biomass in secondary subtropical forests,Siming Mountain,Zhejiang Province,China,29.758333,121.733333
2082,390,"Soil organic carbon accumulation during post-agricultural succession in a karst area, southwest China",Mulun National Nature Reserve,Guangxi Zhuang Autonomous Region,China,25.15,107.983333
319,414,Biomass Accumulation and Net Primary Production during the Early Stage of Secondary Succession after a Severe Forest Disturbance in Northern Japan,Tomakomai,Hokkaido,Japan,42.733333,141.516667
2440,486,Partitioning Tree Species Diversity and Developmental Changes in Habitat Associations in a Subtropical Evergreen Broadleaf Secondary Forest in Southern China,Longqishan Nature Reserve,Fujian Province,China,26.647196,117.301365
2153,557,Soil types influence predictions of soil carbon stock recovery in tropical secondary forests,Atherton Tablelands,,Australia,-17.425556,145.603611
2504,661,The Transition Away From Swidden Agriculture and Trends in Biomass Accumulation in Fallow Forests,Matupi,Chin,Myanmar,21.600833,93.449722
3048,696,"Distribution of soil carbon and nitrogen in two typical forests in the semiarid region of the Loess Plateau, China",Mt Gonglushan,Shaanxi Province,China,36.423333,109.525556
2079,851,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau,Lianjiabian G1,Gansu Province,China,36.084444,108.526944
3858,851,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau,Lianjiabian G2,Gansu Province,China,36.085833,108.5275
3859,851,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau,Lianjiabian S,Gansu Province,China,36.070556,108.533611
3860,851,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau,Lianjiabian F1,Gansu Province,China,36.036389,108.523056
3861,851,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau,Lianjiabian F2,Gansu Province,China,36.051389,108.542222
3862,851,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau,Lianjiabian F3,Gansu Province,China,36.049444,108.537222
2332,856,Floristic and structure of an Amazonian primary forest and a chronosequence of secondary succession,Tapaj—s National Forest,Para,Brazil,-3.040833,-54.905278
3671,879,Effects of Revegetation on Soil Organic Carbon Storage and Erosion-Induced Carbon Loss under Extreme Rainstorms in the Hill and Gully Region of the Loess Plateau,Yanhe watershed,,China,36.833333,109.608333
3816,995,Dynamics of ecosystem carbon stocks during vegetation restoration on the Loess Plateau of China,Lianjiabian Forest Farm chronosequence 3,Gansu Province,China,35.833333,108.733333
3863,995,Dynamics of ecosystem carbon stocks during vegetation restoration on the Loess Plateau of China,Zhifanggou watershed chronosequence 1/2,Shaanxi Province,China,36.775,109.25
2382,1000,A New Model for Size-Dependent Tree Growth in Forests,Ashibetsu,Hokkaido,Japan,43.616667,142.083333
2383,1000,A New Model for Size-Dependent Tree Growth in Forests,Tohbetsu,Hokkaido,Japan,43.516667,141.633333
