measurement.id,plot.id,site.id,study.id,refor.type,prior,stand.age,n,sub_n,plot.size,variables.name,mean_ha,covar_1,coV1_value,covar_2,coV2_value,covar_3,coV3_value
28,1530,2150,222,C,SC,0,4,4,0.04,SOC,62.72,max_depth,10,min_depth,0,,
29,1531,2150,222,PA,PA,0,6,4,0.04,SOC,53.69,max_depth,10,min_depth,0,,
30,1532,2150,222,C,C,0,5,4,0.04,SOC,24.33,max_depth,10,min_depth,0,,
24,1526,2150,222,SNR,SC,4.5,8,4,0.04,SOC,40.65,max_depth,10,min_depth,0,,
25,1527,2150,222,SNR,SC,8,5,4,0.04,SOC,53.23,max_depth,10,min_depth,0,,
26,1528,2150,222,SNR,SC,15,10,4,0.04,SOC,60.97,max_depth,10,min_depth,0,,
86,1547,2405,246,C,SC,0,1,20,0.04,soil_perC,15.4,max_depth,5,min_depth,0,,
114,1547,2405,246,C,SC,0,1,20,0.04,soil_perC,6.8,max_depth,15,min_depth,5,,
59,1533,2405,246,SNR,SC,2,1,20,0.04,soil_perC,3.5,max_depth,5,min_depth,0,,
87,1533,2405,246,SNR,SC,2,1,20,0.04,soil_perC,2.6,max_depth,15,min_depth,5,,
60,1734,2405,246,SNR,SC,2,1,20,0.04,soil_perC,7,max_depth,5,min_depth,0,,
88,1734,2405,246,SNR,SC,2,1,20,0.04,soil_perC,5.1,max_depth,15,min_depth,5,,
61,1735,2405,246,SNR,SC,2,1,20,0.04,soil_perC,5.1,max_depth,5,min_depth,0,,
89,1735,2405,246,SNR,SC,2,1,20,0.04,soil_perC,3.3,max_depth,15,min_depth,5,,
62,1736,2405,246,SNR,SC,2,1,20,0.04,soil_perC,6.4,max_depth,5,min_depth,0,,
90,1736,2405,246,SNR,SC,2,1,20,0.04,soil_perC,4.1,max_depth,15,min_depth,5,,
63,1534,2405,246,SNR,SC,3,1,20,0.04,soil_perC,3.5,max_depth,5,min_depth,0,,
91,1534,2405,246,SNR,SC,3,1,20,0.04,soil_perC,2.1,max_depth,15,min_depth,5,,
64,1737,2405,246,SNR,SC,3,1,20,0.04,soil_perC,4.2,max_depth,5,min_depth,0,,
92,1737,2405,246,SNR,SC,3,1,20,0.04,soil_perC,2.8,max_depth,15,min_depth,5,,
65,1738,2405,246,SNR,SC,3,1,20,0.04,soil_perC,7.3,max_depth,5,min_depth,0,,
93,1738,2405,246,SNR,SC,3,1,20,0.04,soil_perC,4.4,max_depth,15,min_depth,5,,
66,1739,2405,246,SNR,SC,3,1,20,0.04,soil_perC,4.2,max_depth,5,min_depth,0,,
94,1739,2405,246,SNR,SC,3,1,20,0.04,soil_perC,3,max_depth,15,min_depth,5,,
67,1740,2405,246,SNR,SC,3,1,20,0.04,soil_perC,6.9,max_depth,5,min_depth,0,,
95,1740,2405,246,SNR,SC,3,1,20,0.04,soil_perC,3.6,max_depth,15,min_depth,5,,
68,1535,2405,246,SNR,SC,4,1,20,0.04,soil_perC,5.8,max_depth,5,min_depth,0,,
96,1535,2405,246,SNR,SC,4,1,20,0.04,soil_perC,3.4,max_depth,15,min_depth,5,,
69,1536,2405,246,SNR,SC,5,1,20,0.04,soil_perC,7.5,max_depth,5,min_depth,0,,
97,1536,2405,246,SNR,SC,5,1,20,0.04,soil_perC,3.5,max_depth,15,min_depth,5,,
70,1537,2405,246,SNR,SC,6,1,20,0.04,soil_perC,7.9,max_depth,5,min_depth,0,,
98,1537,2405,246,SNR,SC,6,1,20,0.04,soil_perC,5.5,max_depth,15,min_depth,5,,
71,1741,2405,246,SNR,SC,6,1,20,0.04,soil_perC,5.4,max_depth,5,min_depth,0,,
99,1741,2405,246,SNR,SC,6,1,20,0.04,soil_perC,2.9,max_depth,15,min_depth,5,,
72,1742,2405,246,SNR,SC,6,1,20,0.04,soil_perC,6.2,max_depth,5,min_depth,0,,
100,1742,2405,246,SNR,SC,6,1,20,0.04,soil_perC,3.2,max_depth,15,min_depth,5,,
73,1538,2405,246,SNR,SC,9,1,20,0.04,soil_perC,4.8,max_depth,5,min_depth,0,,
101,1538,2405,246,SNR,SC,9,1,20,0.04,soil_perC,2.9,max_depth,15,min_depth,5,,
74,1539,2405,246,SNR,SC,10,1,20,0.04,soil_perC,4.7,max_depth,5,min_depth,0,,
102,1539,2405,246,SNR,SC,10,1,20,0.04,soil_perC,3,max_depth,15,min_depth,5,,
75,1540,2405,246,SNR,SC,12,1,20,0.04,soil_perC,5.7,max_depth,5,min_depth,0,,
103,1540,2405,246,SNR,SC,12,1,20,0.04,soil_perC,3.2,max_depth,15,min_depth,5,,
76,1541,2405,246,SNR,SC,15,1,20,0.04,soil_perC,10.9,max_depth,5,min_depth,0,,
104,1541,2405,246,SNR,SC,15,1,20,0.04,soil_perC,4.2,max_depth,15,min_depth,5,,
77,1743,2405,246,SNR,SC,15,1,20,0.04,soil_perC,7.7,max_depth,5,min_depth,0,,
105,1743,2405,246,SNR,SC,15,1,20,0.04,soil_perC,2.5,max_depth,15,min_depth,5,,
78,1542,2405,246,SNR,SC,20,1,20,0.04,soil_perC,5.1,max_depth,5,min_depth,0,,
106,1542,2405,246,SNR,SC,20,1,20,0.04,soil_perC,2.7,max_depth,15,min_depth,5,,
79,1543,2405,246,SNR,SC,30,1,20,0.04,soil_perC,6.7,max_depth,5,min_depth,0,,
107,1543,2405,246,SNR,SC,30,1,20,0.04,soil_perC,4,max_depth,15,min_depth,5,,
80,1744,2405,246,SNR,SC,30,1,20,0.04,soil_perC,3.9,max_depth,5,min_depth,0,,
108,1744,2405,246,SNR,SC,30,1,20,0.04,soil_perC,1.7,max_depth,15,min_depth,5,,
81,1544,2405,246,SNR,SC,33,1,20,0.04,soil_perC,5.1,max_depth,5,min_depth,0,,
109,1544,2405,246,SNR,SC,33,1,20,0.04,soil_perC,3.3,max_depth,15,min_depth,5,,
82,1545,2405,246,SNR,SC,55,1,20,0.04,soil_perC,5.2,max_depth,5,min_depth,0,,
110,1545,2405,246,SNR,SC,55,1,20,0.04,soil_perC,7.9,max_depth,15,min_depth,5,,
83,1745,2405,246,SNR,SC,55,1,20,0.04,soil_perC,3.4,max_depth,5,min_depth,0,,
111,1745,2405,246,SNR,SC,55,1,20,0.04,soil_perC,5.9,max_depth,15,min_depth,5,,
116,1560,2082,390,C,C,0,1,10,0.04,SOC,33.9,max_depth,15,min_depth,0,,
117,1561,2082,390,C,C,0,1,10,0.04,SOC,35.7,max_depth,15,min_depth,0,,
115,1562,2082,390,C,C,0,1,10,0.04,SOC,56.7,max_depth,15,min_depth,0,,
13504,9355,2082,390,SNR,C,10,1,10,0.04,SOC,33.6,max_depth,15,min_depth,0,,
13505,9356,2082,390,SNR,C,10,1,10,0.04,SOC,36.5,max_depth,15,min_depth,0,,
13506,9357,2082,390,SNR,C,10,1,10,0.04,SOC,40.8,max_depth,15,min_depth,0,,
13507,9358,2082,390,SNR,C,10,1,10,0.04,SOC,41.6,max_depth,15,min_depth,0,,
13508,9359,2082,390,SNR,C,10,1,10,0.04,SOC,44.9,max_depth,15,min_depth,0,,
13509,9360,2082,390,SNR,C,10,1,10,0.04,SOC,47.3,max_depth,15,min_depth,0,,
13510,9361,2082,390,SNR,C,29,1,10,0.04,SOC,52.5,max_depth,15,min_depth,0,,
13511,9362,2082,390,SNR,C,29,1,10,0.04,SOC,55.2,max_depth,15,min_depth,0,,
13512,9363,2082,390,SNR,C,29,1,10,0.04,SOC,58.4,max_depth,15,min_depth,0,,
13513,9364,2082,390,SNR,C,29,1,10,0.04,SOC,84.6,max_depth,15,min_depth,0,,
13514,9365,2082,390,SNR,C,29,1,10,0.04,SOC,89.8,max_depth,15,min_depth,0,,
13515,9366,2082,390,SNR,C,29,1,10,0.04,SOC,94.6,max_depth,15,min_depth,0,,
13516,9367,2082,390,SNR,C,54,1,10,0.04,SOC,116,max_depth,15,min_depth,0,,
13517,9368,2082,390,SNR,C,54,1,10,0.04,SOC,114.9,max_depth,15,min_depth,0,,
13518,9369,2082,390,SNR,C,54,1,10,0.04,SOC,97.7,max_depth,15,min_depth,0,,
13519,9370,2082,390,SNR,C,54,1,10,0.04,SOC,85.1,max_depth,15,min_depth,0,,
13520,9371,2082,390,SNR,C,54,1,10,0.04,SOC,84.1,max_depth,15,min_depth,0,,
13521,9372,2082,390,SNR,C,54,1,10,0.04,SOC,75,max_depth,15,min_depth,0,,
176,1578,2153,557,PA,PA,0,1,11,0.05,SOC,51.4,max_depth,30,min_depth,0,,
178,1587,2153,557,PA,PA,0,1,11,0.05,SOC,69.6,max_depth,30,min_depth,0,,
179,9377,2153,557,PA,PA,0,1,11,0.05,SOC,71.7,max_depth,30,min_depth,0,,
177,9378,2153,557,PA,PA,0,1,11,0.05,SOC,57.6,max_depth,30,min_depth,0,,
175,9379,2153,557,PA,PA,0,1,11,0.05,SOC,48.3,max_depth,30,min_depth,0,,
180,9389,2153,557,PA,PA,0,1,11,0.05,SOC,75.7,max_depth,30,min_depth,0,,
181,9390,2153,557,PA,PA,0,1,11,0.05,SOC,82.7,max_depth,30,min_depth,0,,
182,1588,2153,557,SNR,PA,9,1,11,0.05,SOC,61,max_depth,30,min_depth,0,,
183,1589,2153,557,SNR,PA,12,1,11,0.05,SOC,80,max_depth,30,min_depth,0,,
184,1579,2153,557,SNR,PA,13,1,11,0.05,SOC,62.4,max_depth,30,min_depth,0,,
187,1580,2153,557,SNR,PA,20,1,11,0.05,SOC,51,max_depth,30,min_depth,0,,
188,1590,2153,557,SNR,PA,20,1,11,0.05,SOC,96.2,max_depth,30,min_depth,0,,
186,9380,2153,557,SNR,PA,20,1,11,0.05,SOC,47.9,max_depth,30,min_depth,0,,
185,9381,2153,557,SNR,PA,20,1,11,0.05,SOC,42.4,max_depth,30,min_depth,0,,
189,1591,2153,557,SNR,PA,23,1,11,0.05,SOC,84.7,max_depth,30,min_depth,0,,
190,1581,2153,557,SNR,PA,26,1,11,0.05,SOC,33.8,max_depth,30,min_depth,0,,
191,1582,2153,557,SNR,PA,30,1,11,0.05,SOC,56.2,max_depth,30,min_depth,0,,
192,1592,2153,557,SNR,PA,32,1,11,0.05,SOC,77.6,max_depth,30,min_depth,0,,
193,1583,2153,557,SNR,PA,34,1,11,0.05,SOC,35.2,max_depth,30,min_depth,0,,
194,9382,2153,557,SNR,PA,34,1,11,0.05,SOC,37.2,max_depth,30,min_depth,0,,
195,9383,2153,557,SNR,PA,34,1,11,0.05,SOC,44.8,max_depth,30,min_depth,0,,
196,9384,2153,557,SNR,PA,34,1,11,0.05,SOC,50,max_depth,30,min_depth,0,,
197,9385,2153,557,SNR,PA,34,1,11,0.05,SOC,61.8,max_depth,30,min_depth,0,,
198,1593,2153,557,SNR,PA,40,1,11,0.05,SOC,90.6,max_depth,30,min_depth,0,,
199,1584,2153,557,SNR,PA,42,1,11,0.05,SOC,56.1,max_depth,30,min_depth,0,,
200,1585,2153,557,SNR,PA,47,1,11,0.05,SOC,54.2,max_depth,30,min_depth,0,,
201,9386,2153,557,SNR,PA,47,1,11,0.05,SOC,68.6,max_depth,30,min_depth,0,,
202,9387,2153,557,SNR,PA,47,1,11,0.05,SOC,75,max_depth,30,min_depth,0,,
203,9388,2153,557,SNR,PA,47,1,11,0.05,SOC,87.9,max_depth,30,min_depth,0,,
204,1594,2153,557,SNR,PA,68,1,11,0.05,SOC,70,max_depth,30,min_depth,0,,
257,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,24,max_depth,20,min_depth,0,,
258,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,14,max_depth,40,min_depth,20,,
259,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,12,max_depth,60,min_depth,40,,
260,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,11,max_depth,80,min_depth,60,,
261,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,10,max_depth,100,min_depth,80,,
262,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,7,max_depth,120,min_depth,100,,
263,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,4,max_depth,140,min_depth,120,,
264,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,4,max_depth,160,min_depth,140,,
265,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,3,max_depth,180,min_depth,160,,
266,1612,2079,851,SNR,C,10,5,5,0.0004,SOC,4,max_depth,200,min_depth,180,,
267,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,30,max_depth,20,min_depth,0,,
268,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,16,max_depth,40,min_depth,20,,
269,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,13,max_depth,60,min_depth,40,,
270,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,12,max_depth,80,min_depth,60,,
271,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,8,max_depth,100,min_depth,80,,
272,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,8,max_depth,120,min_depth,100,,
273,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,8,max_depth,140,min_depth,120,,
274,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,8,max_depth,160,min_depth,140,,
275,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,8,max_depth,180,min_depth,160,,
276,1613,3858,851,SNR,C,30,5,5,0.0004,SOC,8,max_depth,200,min_depth,180,,
277,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,31,max_depth,20,min_depth,0,,
278,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,15,max_depth,40,min_depth,20,,
279,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,10,max_depth,60,min_depth,40,,
280,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,9,max_depth,80,min_depth,60,,
281,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,8,max_depth,100,min_depth,80,,
282,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,9,max_depth,120,min_depth,100,,
283,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,10,max_depth,140,min_depth,120,,
284,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,10,max_depth,160,min_depth,140,,
285,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,11,max_depth,180,min_depth,160,,
286,1614,3859,851,SNR,C,50,5,5,0.0025,SOC,10,max_depth,200,min_depth,180,,
381,1668,3863,995,SNR,C,1,3,1,0.04,SOC,4.5,max_depth,10,min_depth,0,,
391,1668,3863,995,SNR,C,1,3,1,0.04,SOC,4.3,max_depth,20,min_depth,10,,
401,1668,3863,995,SNR,C,1,3,1,0.04,SOC,11.2,max_depth,50,min_depth,20,,
411,1668,3863,995,SNR,C,1,3,1,0.04,SOC,15.7,max_depth,100,min_depth,50,,
382,1669,3863,995,SNR,C,7,3,1,0.04,SOC,5.4,max_depth,10,min_depth,0,,
392,1669,3863,995,SNR,C,7,3,1,0.04,SOC,3.7,max_depth,20,min_depth,10,,
402,1669,3863,995,SNR,C,7,3,1,0.04,SOC,8.5,max_depth,50,min_depth,20,,
412,1669,3863,995,SNR,C,7,3,1,0.04,SOC,11.1,max_depth,100,min_depth,50,,
339,1678,3816,995,SNR,C,11,3,1,0.04,SOC,16.2,max_depth,10,min_depth,0,,
346,1678,3816,995,SNR,C,11,3,1,0.04,SOC,13.9,max_depth,20,min_depth,10,,
353,1678,3816,995,SNR,C,11,3,1,0.04,SOC,15.7,max_depth,50,min_depth,20,,
360,1678,3816,995,SNR,C,11,3,1,0.04,SOC,22.8,max_depth,100,min_depth,50,,
383,1670,3863,995,SNR,C,13,3,1,0.04,SOC,5.4,max_depth,10,min_depth,0,,
